"2007/01/05","08:00","CAD","H","Unemployment Rate","6.1%","6.3%","6.3%","","03248"
"2007/01/05","09:30","USD","H","Non-Farm Employment Change","167K","115K","132K","","03249"
"2007/01/05","09:30","USD","H","Unemployment Rate","4.5%","4.5%","4.5%","","03250"
"2007/01/05","09:30","USD","M","Average Hourly Earnings m/m","0.5%","0.3%","0.3%","0.2%","03251"
"2007/01/05","11:00","CAD","H","Ivey PMI","49.4","50.5","52.8","","03253"
"2007/01/05","11:30","USD","L","Natural Gas Storage","-47B","-60B","-46B","","08326"
"2007/01/05","14:45","USD","M","Fed Chairman Bernanke Speaks","","","","","03252"
"2007/01/07","00:01","JPY","N","Bank Holiday [All Day]","","","","","03297"
"2007/01/07","18:30","AUD","L","AIG Construction Index","52.1","","47.6","","10199"
"2007/01/07","20:30","AUD","H","Building Approvals m/m","4.1%","2.0%","-6.8%","-7.4%","09704"
"2007/01/07","20:30","AUD","M","ANZ Job Advertisements m/m","12.1%","","-3.8%","","19238"
"2007/01/08","02:45","CHF","L","Unemployment Rate","3.1%","3.1%","3.1%","","03275"
"2007/01/08","03:00","EUR","M","German Retail Sales m/m","-0.3%","0.6%","-0.5%","-0.2%","03276"
"2007/01/08","07:00","EUR","M","German Factory Orders m/m","1.5%","1.5%","-0.7%","-1.1%","03277"
"2007/01/08","11:30","CAD","H","BOC Business Outlook Survey","","","","","03318"
"2007/01/08","13:45","USD","M","FOMC Member Kohn Speaks","","","","","03298"
"2007/01/08","16:00","USD","L","Consumer Credit m/m","12.3B","5.4B","-1.3B","-1.2B","03278"
"2007/01/08","20:01","GBP","M","BRC Retail Sales Monitor y/y","2.5%","","0.5%","","03316"
"2007/01/08","20:30","AUD","H","Retail Sales m/m","0.2%","0.3%","0.8%","","03299"
"2007/01/09","03:00","EUR","L","German Trade Balance","19.3B","15.3B","17.2B","","03279"
"2007/01/09","07:00","EUR","M","German Industrial Production m/m","1.8%","1.0%","-0.8%","-1.4%","03280"
"2007/01/09","08:30","USD","L","NFIB Small Business Index","96.5","","99.7","","48338"
"2007/01/09","09:15","CAD","H","Housing Starts","212K","230K","229K","225K","03281"
"2007/01/09","11:00","USD","L","IBD/TIPP Economic Optimism","53.7","53.7","53.5","","09930"
"2007/01/09","19:30","AUD","L","Westpac Consumer Sentiment","7.3%","","11.8%","","03300"
"2007/01/09","20:01","GBP","L","Nationwide Consumer Confidence","83","89","89","","03301"
"2007/01/09","20:30","AUD","M","Trade Balance","-0.84B","-0.73B","-1.51","-1.26B","03302"
"2007/01/09","23:45","JPY","L","10-y Bond Auction","1.73|2.5","","1.64|2.3","","48974"
"2007/01/10","03:00","EUR","L","German WPI m/m","0.0%","0.2%","0.1%","","03311"
"2007/01/10","03:45","EUR","L","French Gov Budget Balance","-54.9B","","-48.2B","","12198"
"2007/01/10","03:45","EUR","L","French Trade Balance","-2.8B","-2.3B","-2.8B","-2.7B","09159"
"2007/01/10","03:45","EUR","M","French Industrial Production m/m","-0.2%","0.7%","0.0%","-0.1%","03312"
"2007/01/10","05:30","GBP","M","Trade Balance","-7.2B","-6.45B","-6.33B","","03313"
"2007/01/10","06:30","GBP","L","BRC Shop Price Index y/y","2.3%","","1.8%","","09307"
"2007/01/10","09:30","CAD","L","NHPI m/m","0.5%","0.3%","0.2%","","03284"
